filter_id,sample_type,sample_year,site_id,sample_hitch,rep,area_cm2,filtered_vol_ml,filtered_vol_L,BeforeAcid_ul,AfterAcid_ul,mlSamp,mlEtoh,ExtractVol_L
31,seston,2017,SW02,H3,1,NA,1000,1,18.1,11.7,1.5,5,0.01
36,seston,2017,SW02,H3,2,NA,1000,1,139.4,120.7,3,0,0.01
230,seston,2016,SW02,H3,3,NA,1000,1,126.6,101.2,3,0,0.01
1079,seston,2016,SW03,H3,1,NA,1600,1.6,189.5,159.1,3,0,0.01
32,seston,2017,SW03,H3,1,NA,1600,1.6,181.5,131.3,3,0,0.01
38,seston,2017,SW03,H3,2,NA,1600,1.6,197,140.4,3,0,0.01
233,seston,2016,SW03,H3,3,NA,1600,1.6,172.1,142.9,3,0,0.01
1080,seston,2016,SW04,H3,1,NA,600,0.6,80.1,25.2,2,5,0.01
29,seston,2017,SW04,H3,1,NA,600,0.6,84.6,31.7,2,5,0.01
234,seston,2017,SW04,H3,2,NA,600,0.6,80.1,20.1,2,5,0.01
235,seston,2016,SW04,H3,3,NA,600,0.6,70.1,15.4,2,5,0.01
